category,ntail-moses,facesim
runtime,75.84961295127869,141.48749685287476
llc_references,26405470.907821227,107841154.61708395
llc_misses,15468069.036312848,25491064.852724597
instructions,1058330889.8044693,16225641370.228275
cycles,831644322.8491621,6680429526.759941
stall_cycles,376900391.2709497,1245945339.2709868
intra_coh,532844.6787709497,1655389.911634757
inter_coh,39.91620111731844,0.7511045655375552
wall_cycles,2105829193.3519554,2138561368.5051546
llc_size,196206180.11173186,105700205.7142857
local_mem,1195360164.4692736,1954989552.1649485
remote_mem,14071018.547486033,5379936.141384388
