category,ntail-moses,UA
runtime,75.90213751792908,211.30389785766602
llc_references,26340001.452513967,214810644.44770283
llc_misses,15345133.756983241,143771109.13489735
instructions,1065488818.4776535,18868577053.044964
cycles,844923337.8351955,13358070285.459433
stall_cycles,386528727.55586594,4956133863.470186
intra_coh,536741.8854748603,269510.59628543496
inter_coh,44.88826815642458,0.08308895405669599
wall_cycles,2105119273.3240223,2124614177.3069403
llc_size,194605307.7094972,143019987.95698923
local_mem,1637016970.7262568,15269219827.487782
remote_mem,15968450.502793295,54995786.82306941
