category,ntail-sphinx,UA
runtime,29.74515652656555,40.87269949913025
llc_references,251230288.359375,26073345.679347828
llc_misses,54603953.125,20974774.34782609
instructions,10909708983.125,2373692644.646739
cycles,11453745283.515625,1375633384.8913045
stall_cycles,5334924442.3828125,366976339.4021739
intra_coh,13339.2578125,9859.429347826088
inter_coh,1.09375,0.0
wall_cycles,2116116963.8671875,2109741586.1413045
llc_size,185768960.0,36379603.47826087
local_mem,3500992000.0,2126887179.1304348
remote_mem,16775680.0,13123227.826086955
