category,ntail-img-dnn,SP
runtime,74.24447584152222,198.26457357406616
llc_references,162166403.97988504,527937127.0511482
llc_misses,9893523.807471264,276325790.782881
instructions,4481883446.666667,20906978155.72547
cycles,2299236864.0948277,13529051445.224426
stall_cycles,405946899.6408046,5356190532.82359
intra_coh,470669.5689655172,22891.06993736952
inter_coh,89.23850574712644,0.010438413361169102
wall_cycles,2105752953.3333335,2126542433.4394572
llc_size,51583234.94252874,177675757.82881004
local_mem,49914703.44827586,23840036534.780792
remote_mem,1470793.563218391,53980662.37995825
