category,ntail-sphinx,SP
runtime,28.171436309814453,430.46511149406433
llc_references,255542689.66386554,62881145.72771084
llc_misses,64751994.78991597,46087335.53975903
instructions,11055947019.243698,2528966083.407229
cycles,12208187888.57143,1483522741.0554218
stall_cycles,5981724754.495798,509832877.62650603
intra_coh,18250.79831932773,2698.9542168674698
inter_coh,1.638655462184874,0.05060240963855421
wall_cycles,2118265163.8235295,2153202903.4120483
llc_size,171148090.0840336,80425621.2819277
local_mem,4221261875.6302524,4477809735.556626
remote_mem,11193438.655462187,7771464.173493976
