category,ntail-sphinx,swaptions
runtime,28.569527864456177,155.57256269454956
llc_references,255432471.57024795,349280.0998573466
llc_misses,62653044.380165294,21846.683309557775
instructions,11049342508.347109,2967971857.4322395
cycles,12000195670.661156,1298425730.449358
stall_cycles,5777690187.024794,145372125.3566334
intra_coh,14846.694214876034,52541.14122681883
inter_coh,2.975206611570248,0.0
wall_cycles,2118451272.355372,2282752030.8915834
llc_size,185312518.34710744,2653693.808844508
local_mem,3680905266.7768598,346845.30670470756
remote_mem,7715374.545454546,7946.590584878745
