category,ntail-xapian,bfs
runtime,51.38178563117981,84.32751274108887
llc_references,35524992.47881356,7849747.30994152
llc_misses,11189579.851694915,6864789.47368421
instructions,3954319742.1822033,5806261988.187134
cycles,2608457248.4322033,2477650771.111111
stall_cycles,777027401.927966,473163802.07602334
intra_coh,45501.61016949153,180809.3567251462
inter_coh,135.6991525423729,35.23391812865497
wall_cycles,2108394476.5466104,4926120810.11696
llc_size,121881686.77966101,10510671.34502924
local_mem,25783972.881355934,663111260.8187134
remote_mem,1080233.220338983,1335631.34502924
