category,dedup,SP
runtime,9.566848278045654,147.66331315040588
llc_references,25212581.046511628,690225726.7036011
llc_misses,10560899.418604651,371431539.2313019
instructions,12776645156.860466,27922194095.789474
cycles,7245622547.674418,16281367464.965374
stall_cycles,1809535720.1162791,5540649631.184211
intra_coh,2321847.906976744,46603.518005540165
inter_coh,1.6279069767441863,0.006925207756232687
wall_cycles,2150345171.860465,2103363724.9238226
llc_size,11948889.302325582,208661813.18559557
local_mem,1614052613.9534883,29102558812.18837
remote_mem,29719813.953488372,95777414.7368421
