category,swaptions,SP
runtime,42.09174394607544,145.78443384170532
llc_references,8971927.536585366,694224932.3398329
llc_misses,739386.3170731708,373565663.60724235
instructions,35303536312.09756,28066518468.008354
cycles,15631140232.682926,16283474607.012535
stall_cycles,1964048833.0731707,5488773762.144847
intra_coh,6057560.390243903,27772.374651810584
inter_coh,0.4390243902439024,0.013927576601671309
wall_cycles,2111015734.121951,2103320885.2158773
llc_size,2917151.2195121953,208394439.66573817
local_mem,74090845.65853658,19200401841.55989
remote_mem,80871424.0,81557178.83008356
