category,ferret,ntail-img-dnn
runtime,64.74265170097351,78.56972360610962
llc_references,123578029.52229299,162573050.94520548
llc_misses,51903517.802547775,9472697.452054795
instructions,23918291148.805733,4510684189.835616
cycles,16413129116.257961,2192358609.630137
stall_cycles,4869192413.996815,296239344.7123288
intra_coh,167716.32165605098,343037.9589041096
inter_coh,0.23885350318471338,57.87671232876712
wall_cycles,2109739500.9394906,2105083958.3561645
llc_size,115383015.54140128,91055538.84931506
local_mem,1203557160.7643313,275110252.7123288
remote_mem,9721869.044585988,2985030.1369863013
