category,dedup,ntail-masstree
runtime,12.206149578094482,31.934632778167725
llc_references,26274943.71794872,7195762.913669065
llc_misses,8883977.307692308,1357492.5899280575
instructions,13867378546.666668,348578436.76258993
cycles,7651440721.538462,674544870.9352518
stall_cycles,1794971971.7948718,367536750.3956834
intra_coh,2293240.0,816448.8129496402
inter_coh,0.641025641025641,61.546762589928065
wall_cycles,2156113505.769231,2115338504.7122302
llc_size,120401394.87179488,165315738.70503598
local_mem,1040602453.3333333,133544923.16546762
remote_mem,2571027.692307692,900530.6474820143
