category,ferret,ntail-moses
runtime,64.12798118591309,75.89364504814148
llc_references,123589160.59485531,27011479.36440678
llc_misses,51507367.60450161,19132298.276836157
instructions,24178813255.16077,1086178991.2994351
cycles,16512184727.057878,824125729.7316384
stall_cycles,4857821221.543408,356010281.72316384
intra_coh,166830.2893890675,754943.1779661017
inter_coh,0.12861736334405144,29.562146892655367
wall_cycles,2109561510.562701,2104729786.6384182
llc_size,121785274.85530546,99825768.13559322
local_mem,1115744078.199357,1571574569.943503
remote_mem,8127728.360128617,14567875.254237289
