category,vips,ntail-moses
runtime,16.589474201202393,75.97321915626526
llc_references,120183846.26666667,27843227.86127168
llc_misses,47308068.06666666,16486696.286127167
instructions,48215495724.666664,1129413097.5867052
cycles,15903471744.666668,898891443.7138729
stall_cycles,761517567.7333332,407626487.91907513
intra_coh,1372679.1333333333,964772.514450867
inter_coh,13.933333333333334,60.346820809248555
wall_cycles,2124821164.0,2104948232.3121386
llc_size,175937945.6,168571471.90751445
local_mem,8912970274.133333,2083958618.2658958
remote_mem,45940736.0,28658741.271676302
