category,ntail-sphinx,bodytrack
runtime,29.779903411865234,29.31267786026001
llc_references,261766381.9512195,39671517.19424461
llc_misses,54384893.94308943,3678625.8633093527
instructions,11364611903.414633,26472774808.309357
cycles,11690073166.788618,11473071065.179855
stall_cycles,5331604812.439024,1051577436.3669064
intra_coh,13444.756097560976,7431446.690647482
inter_coh,1.5853658536585367,0.3597122302158273
wall_cycles,2117055882.5609756,2114532047.0143886
llc_size,186351349.59349597,39602131.79856115
local_mem,2329940667.317073,262356166.90647483
remote_mem,12422535.284552846,9630020.143884892
